Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
162.0,Buddy Hield,32.0,GSW,SG,55.0,22.0,23.6,4.1,10.2,0.407,2.5,7.0,0.363,1.6,3.2,0.503,0.531,0.7,0.8,0.822,0.6,2.8,3.3,1.6,0.9,0.3,1.2,1.8,11.5,
163.0,Keldon Johnson,25.0,SAS,SF,49.0,0.0,23.2,4.3,9.5,0.452,1.1,3.6,0.303,3.2,5.9,0.541,0.509,1.9,2.4,0.771,1.3,3.2,4.5,1.4,0.6,0.2,0.9,1.4,11.5,
164.0,Jaden McDaniels,24.0,MIN,PF,56.0,56.0,31.8,4.5,9.6,0.469,1.3,3.8,0.338,3.2,5.8,0.554,0.535,1.1,1.4,0.8,1.5,4.0,5.6,1.8,1.4,0.9,1.1,3.0,11.5,
165.0,Ty Jerome,27.0,CLE,SG,50.0,2.0,19.1,4.2,8.1,0.516,1.5,3.4,0.427,2.7,4.6,0.582,0.607,1.6,1.8,0.898,0.7,1.7,2.5,3.4,1.2,0.0,1.2,1.4,11.4,
166.0,Zaccharie Risacher,19.0,ATL,SF,48.0,46.0,23.8,4.3,9.9,0.433,1.3,4.1,0.317,3.0,5.8,0.516,0.499,1.5,2.2,0.712,1.2,2.1,3.3,1.2,0.8,0.5,1.1,2.0,11.4,
167.0,Alex Sarr,19.0,WAS,C,42.0,42.0,26.9,4.3,11.0,0.393,1.4,4.6,0.308,2.9,6.3,0.455,0.458,1.4,2.1,0.64,1.8,4.8,6.6,2.2,0.6,1.6,1.4,2.3,11.4,
168.0,Walker Kessler,23.0,UTA,C,42.0,42.0,30.4,4.9,6.8,0.718,0.0,0.1,0.333,4.9,6.7,0.726,0.721,1.5,2.7,0.554,4.5,7.3,11.8,1.5,0.6,2.4,1.5,2.2,11.3,
169.0,Naji Marshall,27.0,DAL,SF,43.0,14.0,24.9,4.5,8.8,0.509,0.9,2.9,0.315,3.6,5.9,0.605,0.561,1.4,1.7,0.845,1.0,2.9,3.8,2.6,1.0,0.1,1.4,1.6,11.2,
170.0,Jaylen Wells,21.0,MEM,SG,54.0,49.0,25.8,4.0,8.9,0.446,1.9,4.9,0.376,2.1,4.0,0.532,0.55,1.4,1.7,0.833,1.1,2.1,3.2,1.7,0.6,0.1,0.9,1.9,11.2,
171.0,Jonas Valančiūnas,32.0,2TM,C,54.0,12.0,19.6,4.5,8.3,0.546,0.1,0.5,0.259,4.4,7.8,0.564,0.554,1.9,2.2,0.873,2.4,5.5,7.9,2.1,0.4,0.6,1.7,2.1,11.1,
172.0,Jonas Valančiūnas,32.0,WAS,C,49.0,12.0,20.1,4.7,8.6,0.547,0.1,0.6,0.259,4.6,8.1,0.567,0.556,1.9,2.2,0.896,2.4,5.8,8.2,2.2,0.4,0.6,1.8,2.0,11.5,
173.0,Jonas Valančiūnas,32.0,SAC,C,5.0,0.0,15.4,2.6,5.0,0.52,0.0,0.0,,2.6,5.0,0.52,0.52,1.6,2.4,0.667,2.4,2.4,4.8,1.2,0.4,0.6,1.2,3.2,6.8,
174.0,Isaiah Hartenstein,26.0,OKC,C,34.0,33.0,29.0,4.8,8.5,0.566,0.0,0.4,0.0,4.8,8.1,0.592,0.566,1.5,2.3,0.646,3.2,8.7,11.9,3.9,0.8,1.1,1.9,2.9,11.1,
175.0,Tyus Jones,28.0,PHO,PG,53.0,53.0,29.6,4.1,9.1,0.454,2.1,5.1,0.407,2.1,4.0,0.514,0.567,0.8,0.9,0.872,0.6,1.9,2.5,6.0,0.9,0.1,1.4,1.0,11.1,
176.0,Guerschon Yabusele,29.0,PHI,C,51.0,27.0,26.6,4.1,7.9,0.516,1.5,3.9,0.401,2.5,4.0,0.626,0.614,1.4,1.8,0.742,1.9,3.7,5.5,2.0,0.8,0.4,1.3,2.5,11.1,
177.0,Grayson Allen,29.0,PHO,SG,43.0,3.0,25.0,3.5,7.9,0.448,2.5,5.9,0.433,1.0,2.0,0.494,0.609,1.4,1.7,0.836,0.6,2.7,3.4,2.1,1.0,0.3,1.0,1.4,11.0,
178.0,Donte DiVincenzo,28.0,MIN,SG,40.0,8.0,26.4,3.7,9.3,0.397,2.6,7.0,0.369,1.1,2.4,0.479,0.535,1.0,1.3,0.82,0.6,3.1,3.7,3.6,1.2,0.2,1.8,1.6,11.0,
179.0,Rudy Gobert,32.0,MIN,C,55.0,55.0,33.3,4.3,6.5,0.653,0.0,0.0,,4.3,6.5,0.653,0.653,2.4,3.6,0.68,3.5,6.9,10.4,1.8,0.7,1.5,1.4,2.4,11.0,
180.0,Jrue Holiday,34.0,BOS,PG,44.0,44.0,30.2,4.0,9.1,0.438,1.8,5.1,0.342,2.3,4.0,0.559,0.534,1.2,1.4,0.9,1.1,3.3,4.4,3.7,1.0,0.4,1.3,1.6,11.0,
181.0,Nikola Jović,21.0,MIA,PF,44.0,10.0,25.1,3.8,8.3,0.454,1.7,4.6,0.373,2.0,3.7,0.556,0.557,1.6,2.0,0.828,0.6,3.4,3.9,2.9,0.8,0.3,1.4,1.7,10.9,
182.0,Aaron Wiggins,26.0,OKC,SG,54.0,19.0,22.1,4.3,8.6,0.498,1.5,4.0,0.381,2.8,4.6,0.601,0.587,0.8,0.9,0.854,1.1,2.6,3.7,1.6,0.8,0.2,0.9,1.3,10.9,
183.0,Jalen Duren,21.0,DET,C,52.0,52.0,25.7,4.5,6.5,0.694,0.0,0.0,,4.5,6.5,0.694,0.694,1.8,2.6,0.686,3.6,6.6,10.2,2.5,0.7,1.2,1.9,3.2,10.8,
184.0,Quentin Grimes,24.0,2TM,SG,51.0,13.0,23.5,3.8,8.1,0.465,1.7,4.5,0.39,2.0,3.7,0.556,0.572,1.4,1.9,0.758,0.7,3.3,4.0,2.3,0.7,0.3,1.3,1.7,10.7,
185.0,Quentin Grimes,24.0,DAL,SG,47.0,12.0,22.8,3.6,7.8,0.463,1.7,4.3,0.398,1.9,3.5,0.543,0.573,1.3,1.7,0.765,0.6,3.2,3.8,2.1,0.7,0.2,1.3,1.7,10.2,
186.0,Quentin Grimes,24.0,PHI,SG,4.0,1.0,32.8,6.0,12.5,0.48,2.3,6.8,0.333,3.8,5.8,0.652,0.57,2.5,3.5,0.714,1.8,4.5,6.3,3.8,1.0,0.8,1.0,1.8,16.8,
187.0,Brandon Boston Jr.,23.0,NOP,SG,42.0,10.0,23.6,4.0,9.1,0.436,1.2,3.3,0.35,2.8,5.7,0.485,0.5,1.6,2.0,0.788,0.7,2.5,3.2,2.2,1.3,0.2,1.2,1.7,10.7,
188.0,Duncan Robinson,30.0,MIA,SF,50.0,30.0,24.1,3.8,9.0,0.42,2.5,6.5,0.378,1.3,2.5,0.528,0.557,0.7,0.8,0.895,0.3,2.0,2.3,2.7,0.5,0.1,1.1,2.0,10.7,
189.0,Caris LeVert,30.0,2TM,SG,41.0,3.0,24.1,3.7,8.0,0.46,1.6,4.0,0.405,2.1,4.0,0.515,0.561,1.6,2.3,0.705,0.7,2.5,3.1,3.6,0.8,0.5,1.3,1.4,10.6,
190.0,Caris LeVert,30.0,CLE,SF,38.0,3.0,23.8,3.6,7.8,0.453,1.6,3.9,0.405,2.0,3.9,0.5,0.554,1.5,2.2,0.699,0.6,2.2,2.8,3.7,0.9,0.5,1.3,1.3,10.2,
191.0,Caris LeVert,30.0,ATL,SG,3.0,0.0,27.7,5.3,10.0,0.533,2.0,5.0,0.4,3.3,5.0,0.667,0.633,3.0,4.0,0.75,1.7,5.3,7.0,3.0,0.0,1.0,0.7,3.7,15.7,
192.0,Jordan Hawkins,22.0,NOP,SG,37.0,5.0,23.0,3.6,9.8,0.365,1.9,5.7,0.333,1.7,4.2,0.409,0.462,1.5,1.8,0.838,0.4,2.1,2.4,1.1,0.6,0.4,0.9,0.8,10.6,
193.0,Spencer Dinwiddie,31.0,DAL,PG,54.0,19.0,25.3,3.4,8.0,0.42,1.4,4.0,0.349,2.0,4.0,0.491,0.507,2.4,2.9,0.838,0.2,2.2,2.4,3.7,0.9,0.2,1.2,1.5,10.5,
194.0,Tim Hardaway Jr.,32.0,DET,SG,51.0,51.0,28.4,3.4,8.4,0.408,2.1,5.6,0.374,1.3,2.8,0.476,0.533,1.6,1.9,0.825,0.2,2.1,2.3,1.6,0.5,0.1,0.7,1.3,10.5,
195.0,Andrew Nembhard,25.0,IND,SG,37.0,37.0,28.4,3.9,8.3,0.468,0.8,2.4,0.322,3.1,6.0,0.525,0.513,1.9,2.5,0.783,0.5,2.7,3.3,4.9,1.3,0.1,1.8,2.4,10.5,
196.0,Ochai Agbaji,24.0,TOR,SG,49.0,37.0,27.8,4.2,8.2,0.509,1.5,3.9,0.393,2.6,4.3,0.614,0.602,0.6,0.9,0.667,0.9,2.9,3.8,1.6,0.8,0.6,0.8,1.9,10.4,
197.0,Amir Coffey,27.0,LAC,SG,52.0,11.0,25.9,3.6,7.5,0.476,1.6,3.7,0.428,2.0,3.8,0.523,0.582,1.7,1.8,0.906,0.5,1.9,2.4,1.1,0.6,0.1,0.7,1.7,10.4,
198.0,Derrick Jones Jr.,27.0,LAC,SF,52.0,48.0,25.1,4.2,8.1,0.518,1.0,2.8,0.368,3.2,5.3,0.596,0.581,1.0,1.4,0.75,1.3,2.3,3.6,0.9,1.2,0.4,0.9,2.1,10.4,
199.0,Grant Williams,26.0,CHO,PF,16.0,7.0,29.9,3.4,7.7,0.439,1.7,4.6,0.365,1.7,3.1,0.551,0.549,1.9,2.3,0.838,1.1,4.0,5.1,2.3,1.1,0.8,1.8,2.9,10.4,
200.0,Herbert Jones,26.0,NOP,SF,20.0,20.0,32.4,3.8,8.6,0.436,1.1,3.6,0.306,2.7,5.0,0.53,0.5,1.7,2.0,0.825,1.1,2.8,3.9,3.3,1.9,0.5,1.8,3.3,10.3,
201.0,De'Anthony Melton,26.0,GSW,SG,6.0,2.0,20.2,3.7,9.0,0.407,2.2,5.8,0.371,1.5,3.2,0.474,0.528,0.8,1.3,0.625,1.0,2.3,3.3,2.8,1.2,0.3,1.7,3.0,10.3,
202.0,Obi Toppin,26.0,IND,PF,50.0,0.0,19.4,4.0,7.4,0.537,1.3,3.5,0.356,2.7,3.8,0.703,0.622,1.2,1.5,0.795,0.7,3.4,4.1,1.5,0.6,0.4,0.7,1.4,10.3,
203.0,Gary Trent Jr.,26.0,MIL,SG,48.0,7.0,25.1,3.6,8.3,0.438,2.3,5.4,0.429,1.3,2.8,0.456,0.579,0.8,0.9,0.837,0.2,2.1,2.4,1.1,1.0,0.1,0.6,1.9,10.3,
204.0,Chris Boucher,32.0,TOR,PF,46.0,0.0,17.3,3.7,7.5,0.491,1.4,3.9,0.365,2.2,3.5,0.632,0.587,1.4,1.7,0.788,1.3,3.1,4.4,0.6,0.5,0.5,0.6,1.4,10.2,
205.0,Toumani Camara,24.0,POR,PF,53.0,53.0,32.3,3.8,8.5,0.444,1.5,4.1,0.356,2.3,4.4,0.526,0.53,1.1,1.5,0.747,2.3,3.6,5.9,2.0,1.4,0.6,1.5,3.0,10.1,
206.0,Nic Claxton,25.0,BRK,C,47.0,39.0,26.6,4.4,8.1,0.546,0.0,0.3,0.071,4.4,7.8,0.564,0.547,1.2,2.3,0.537,2.1,5.4,7.5,2.0,0.9,1.4,1.2,2.0,10.1,
207.0,Jose Alvarado,26.0,NOP,PG,31.0,11.0,23.2,3.4,8.3,0.412,2.2,5.5,0.398,1.2,2.8,0.442,0.545,1.0,1.2,0.811,0.5,1.6,2.1,4.4,1.4,0.3,1.2,1.9,10.0,
208.0,Luguentz Dort,25.0,OKC,SF,50.0,50.0,29.0,3.5,8.2,0.431,2.3,5.6,0.41,1.2,2.6,0.477,0.571,0.7,0.8,0.825,1.4,2.8,4.2,1.6,1.1,0.6,0.7,3.1,10.0,
209.0,Jordan Goodwin,26.0,LAL,PG,3.0,0.0,21.3,4.3,7.3,0.591,1.0,2.3,0.429,3.3,5.0,0.667,0.659,0.3,0.3,1.0,2.0,3.3,5.3,1.3,1.0,0.0,0.7,2.3,10.0,
210.0,Julian Champagnie,23.0,SAS,SF,52.0,26.0,24.7,3.4,8.2,0.418,2.2,6.0,0.362,1.3,2.2,0.57,0.55,0.9,1.0,0.906,0.8,3.2,4.0,1.2,0.8,0.4,1.0,1.4,9.9,
211.0,Keon Johnson,22.0,BRK,SG,52.0,32.0,23.3,3.6,9.6,0.372,1.5,5.0,0.293,2.1,4.6,0.456,0.448,1.3,1.6,0.783,0.8,2.8,3.5,1.9,0.9,0.3,1.2,2.5,9.9,
212.0,Bogdan Bogdanović,32.0,2TM,SG,26.0,0.0,24.6,3.4,9.2,0.374,1.8,5.9,0.299,1.7,3.2,0.512,0.471,1.2,1.3,0.882,0.5,2.2,2.7,2.0,0.9,0.2,1.5,2.3,9.8,
213.0,Bogdan Bogdanović,32.0,ATL,SG,24.0,0.0,24.9,3.5,9.3,0.371,1.8,6.1,0.301,1.6,3.3,0.5,0.469,1.3,1.4,0.882,0.5,2.3,2.8,2.0,0.8,0.3,1.5,2.4,10.0,
214.0,Bogdan Bogdanović,32.0,LAC,SG,2.0,0.0,20.5,3.0,7.0,0.429,1.0,4.0,0.25,2.0,3.0,0.667,0.5,0.0,0.0,,0.5,1.0,1.5,1.5,2.0,0.0,1.0,2.0,7.0,
215.0,GG Jackson II,20.0,MEM,PF,12.0,0.0,17.8,3.5,8.3,0.42,1.3,4.2,0.32,2.2,4.2,0.52,0.5,1.5,2.2,0.692,1.2,2.5,3.7,1.0,0.5,0.2,1.4,0.9,9.8,
216.0,T.J. McConnell,32.0,IND,PG,52.0,0.0,18.6,4.4,8.6,0.519,0.2,0.6,0.25,4.3,7.9,0.54,0.528,0.8,1.1,0.732,0.5,2.0,2.5,4.6,1.2,0.3,1.5,1.0,9.8,
217.0,Svi Mykhailiuk,27.0,UTA,SF,22.0,12.0,20.0,3.5,8.6,0.402,2.1,6.1,0.343,1.4,2.5,0.545,0.524,0.8,1.0,0.783,0.5,2.0,2.5,1.7,0.7,0.3,1.6,1.3,9.8,
218.0,Brandin Podziemski,21.0,GSW,SG,42.0,11.0,25.3,3.6,8.4,0.429,1.3,4.1,0.32,2.3,4.3,0.533,0.507,1.1,1.5,0.738,1.0,3.7,4.7,3.5,1.1,0.2,1.1,1.5,9.7,
219.0,Royce O'Neale,31.0,PHO,SF,48.0,15.0,25.8,3.4,8.0,0.427,2.4,5.9,0.411,1.0,2.1,0.47,0.579,0.4,0.5,0.773,0.8,4.2,5.0,2.1,1.0,0.5,0.9,2.2,9.6,
220.0,Julian Strawther,22.0,DEN,SG,55.0,4.0,22.6,3.4,7.9,0.434,1.6,4.4,0.364,1.8,3.5,0.523,0.536,1.1,1.4,0.827,0.3,2.0,2.3,1.3,0.7,0.3,0.9,2.5,9.6,
221.0,Cam Whitmore,20.0,HOU,SF,36.0,0.0,17.5,3.6,8.7,0.414,1.3,4.1,0.313,2.3,4.6,0.503,0.487,1.1,1.5,0.727,0.7,2.5,3.2,0.9,0.7,0.3,1.0,1.1,9.6,
222.0,Max Christie,21.0,2TM,SG,52.0,27.0,26.2,3.1,6.9,0.453,1.4,3.8,0.383,1.7,3.2,0.537,0.557,1.8,2.1,0.845,0.6,2.4,3.0,1.7,0.8,0.5,1.0,1.6,9.5,
223.0,Max Christie,21.0,LAL,SG,46.0,25.0,25.1,2.8,6.3,0.444,1.3,3.5,0.368,1.5,2.7,0.544,0.549,1.6,1.9,0.851,0.5,2.1,2.7,1.4,0.8,0.5,0.8,1.6,8.5,
224.0,Max Christie,21.0,DAL,SG,6.0,2.0,34.5,5.8,12.0,0.486,2.5,5.5,0.455,3.3,6.5,0.513,0.59,3.2,3.8,0.826,0.8,4.3,5.2,3.5,1.2,0.7,2.0,1.7,17.3,
225.0,Zach Edey,22.0,MEM,C,40.0,33.0,20.6,3.9,6.7,0.582,0.4,1.0,0.35,3.6,5.7,0.623,0.608,1.3,1.9,0.684,3.2,4.4,7.6,0.9,0.7,1.2,1.4,2.6,9.5,
226.0,Tosan Evbuomwan,23.0,BRK,SF,20.0,0.0,24.3,3.5,7.8,0.442,0.8,2.6,0.294,2.7,5.3,0.514,0.49,1.8,2.5,0.735,1.2,2.9,4.1,1.7,0.8,0.4,1.6,1.9,9.5,
227.0,Isaiah Joe,25.0,OKC,SG,49.0,11.0,21.3,3.3,7.8,0.43,2.4,6.1,0.395,0.9,1.7,0.561,0.585,0.4,0.6,0.7,0.5,2.0,2.5,1.4,0.7,0.1,0.5,1.7,9.5,
228.0,Scotty Pippen Jr.,24.0,MEM,PG,54.0,16.0,20.7,3.5,7.4,0.471,1.0,2.7,0.358,2.5,4.7,0.538,0.537,1.5,2.2,0.678,0.8,2.6,3.3,4.4,1.2,0.4,1.8,2.5,9.5,
229.0,Clint Capela,30.0,ATL,C,45.0,41.0,22.4,4.2,7.3,0.573,0.0,0.0,,4.2,7.3,0.573,0.573,1.0,1.9,0.541,3.3,5.7,9.0,1.2,0.6,1.0,1.0,2.0,9.4,
230.0,Noah Clowney,20.0,BRK,PF,37.0,18.0,23.1,3.0,8.1,0.375,2.0,5.6,0.354,1.0,2.4,0.422,0.498,1.4,1.6,0.85,0.9,3.0,3.9,0.8,0.5,0.5,1.0,2.4,9.4,
231.0,Luke Kennard,28.0,MEM,SG,41.0,7.0,22.0,3.2,6.7,0.471,2.1,4.4,0.478,1.1,2.3,0.458,0.627,0.9,1.0,0.884,0.6,2.3,2.9,3.3,0.7,0.1,1.1,0.8,9.4,
232.0,Dalton Knecht,23.0,LAL,SF,49.0,12.0,20.6,3.4,7.3,0.464,1.6,4.5,0.36,1.8,2.8,0.63,0.575,1.0,1.2,0.814,0.5,2.5,3.0,0.9,0.3,0.1,0.5,1.3,9.4,
233.0,Ziaire Williams,23.0,BRK,SF,40.0,23.0,23.6,3.1,7.9,0.398,1.3,4.0,0.325,1.8,3.9,0.474,0.481,1.8,2.2,0.818,1.1,3.7,4.8,1.5,1.0,0.4,1.0,2.4,9.4,
234.0,Anthony Black,21.0,ORL,PG,52.0,9.0,24.9,3.3,7.8,0.418,0.7,2.4,0.282,2.6,5.4,0.479,0.462,2.1,2.8,0.75,0.6,2.0,2.6,3.4,1.0,0.5,1.8,2.2,9.3,
235.0,Ausar Thompson,22.0,DET,SF,33.0,22.0,20.9,3.8,7.0,0.55,0.2,1.0,0.219,3.6,6.0,0.603,0.565,1.4,2.4,0.595,1.7,3.3,5.0,2.2,1.6,0.5,1.4,2.7,9.3,
236.0,Jalen Wilson,24.0,BRK,PF,53.0,15.0,27.3,3.2,8.1,0.392,1.4,4.5,0.309,1.8,3.6,0.492,0.477,1.5,1.9,0.82,1.1,2.4,3.5,1.9,0.5,0.1,1.2,2.2,9.3,
237.0,Kevin Porter Jr.,24.0,2TM,SG,47.0,2.0,19.5,3.8,8.9,0.424,0.6,2.3,0.25,3.2,6.6,0.485,0.457,1.1,1.7,0.654,0.6,3.0,3.6,3.2,1.0,0.2,1.9,1.6,9.2,
238.0,Kevin Porter Jr.,24.0,LAC,SG,45.0,2.0,19.6,3.8,9.0,0.423,0.6,2.4,0.245,3.2,6.7,0.485,0.455,1.1,1.7,0.645,0.6,2.9,3.6,3.2,1.0,0.2,1.9,1.6,9.3,
239.0,Kevin Porter Jr.,24.0,MIL,SG,2.0,0.0,16.0,2.5,5.0,0.5,0.5,1.0,0.5,2.0,4.0,0.5,0.55,1.0,1.0,1.0,0.0,4.5,4.5,3.5,1.0,0.0,1.5,1.5,6.5,
240.0,Cole Anthony,24.0,ORL,PG,51.0,13.0,17.4,3.4,8.1,0.425,1.0,3.2,0.325,2.4,4.9,0.49,0.489,1.3,1.6,0.786,0.6,2.2,2.8,2.7,0.7,0.3,1.6,2.2,9.2,
241.0,Jaime Jaquez Jr.,23.0,MIA,SF,46.0,11.0,23.1,3.3,7.6,0.437,0.6,2.0,0.293,2.7,5.6,0.488,0.476,2.0,2.6,0.767,1.3,3.5,4.7,2.7,1.1,0.2,1.5,1.5,9.2,
242.0,Moses Moody,22.0,GSW,SG,47.0,7.0,19.4,3.2,7.3,0.433,1.7,4.4,0.375,1.5,2.9,0.522,0.547,1.2,1.6,0.724,0.6,1.7,2.3,1.1,0.6,0.4,0.7,1.5,9.2,
243.0,Chris Paul,39.0,SAS,PG,52.0,52.0,29.1,3.1,7.4,0.414,1.7,4.8,0.359,1.3,2.6,0.515,0.53,1.3,1.4,0.946,0.5,3.6,4.0,8.1,1.3,0.2,1.5,1.9,9.2,
244.0,Georges Niang,31.0,2TM,PF,54.0,2.0,21.1,3.4,7.1,0.478,1.8,4.5,0.404,1.5,2.5,0.61,0.608,0.5,0.6,0.794,0.7,3.1,3.8,1.4,0.4,0.2,0.9,2.5,9.1,
245.0,Georges Niang,31.0,CLE,PF,51.0,1.0,20.6,3.3,6.8,0.477,1.8,4.4,0.4,1.5,2.4,0.618,0.606,0.5,0.6,0.793,0.7,3.0,3.7,1.3,0.3,0.1,0.9,2.5,8.7,
246.0,Georges Niang,31.0,ATL,PF,3.0,1.0,28.0,5.3,11.0,0.485,3.0,6.7,0.45,2.3,4.3,0.538,0.621,1.3,1.7,0.8,1.0,3.7,4.7,2.3,1.3,0.7,0.7,2.7,15.0,
247.0,Carlton Carrington,19.0,WAS,PG,54.0,39.0,29.5,3.4,8.2,0.408,1.7,4.7,0.356,1.7,3.5,0.476,0.509,0.7,0.9,0.826,0.4,3.6,4.0,4.0,0.7,0.2,1.6,2.4,9.1,
248.0,Dereck Lively II,20.0,DAL,C,32.0,25.0,24.0,3.9,5.5,0.701,0.0,0.0,,3.9,5.5,0.701,0.701,1.4,2.2,0.638,3.1,4.8,7.8,2.6,0.5,1.7,1.2,2.9,9.1,
249.0,Caleb Martin,29.0,PHI,SF,31.0,24.0,30.4,3.3,7.5,0.435,1.1,2.8,0.379,2.2,4.7,0.469,0.506,1.5,2.4,0.622,1.4,3.0,4.4,2.2,1.1,0.6,1.4,2.0,9.1,
250.0,Patrick Williams,23.0,CHI,PF,45.0,35.0,26.2,3.2,8.6,0.375,1.6,4.5,0.351,1.6,4.1,0.4,0.466,1.1,1.4,0.769,0.8,3.3,4.0,2.0,0.8,0.6,1.3,1.3,9.1,
251.0,Miles McBride,24.0,NYK,PG,44.0,0.0,23.2,3.2,7.7,0.417,1.7,4.5,0.376,1.5,3.2,0.475,0.527,1.0,1.1,0.857,0.7,1.6,2.3,2.6,0.9,0.2,0.7,1.5,9.0,
252.0,Dalano Banton,25.0,POR,PG,42.0,0.0,15.9,3.1,7.6,0.409,1.2,3.4,0.362,1.9,4.3,0.447,0.489,1.4,2.0,0.698,0.3,1.6,1.9,2.2,0.7,0.5,1.3,0.9,8.9,
253.0,Nick Richards,27.0,2TM,C,35.0,22.0,22.0,3.2,5.6,0.566,0.0,0.1,0.0,3.2,5.5,0.572,0.566,2.5,3.6,0.704,2.6,5.9,8.5,1.0,0.3,1.2,1.5,2.5,8.9,
254.0,Nick Richards,27.0,CHO,C,21.0,9.0,21.0,3.0,5.4,0.561,0.0,0.0,0.0,3.0,5.4,0.566,0.561,2.8,4.1,0.678,2.4,5.1,7.5,1.3,0.3,1.2,1.6,2.3,8.9,
255.0,Nick Richards,27.0,PHO,C,14.0,13.0,23.6,3.4,5.9,0.573,0.0,0.1,0.0,3.4,5.8,0.58,0.573,2.1,2.7,0.763,2.9,7.1,10.0,0.6,0.2,1.1,1.4,2.9,8.8,
256.0,Brice Sensabaugh,21.0,UTA,SF,44.0,1.0,17.3,3.2,7.1,0.446,1.6,4.3,0.372,1.6,2.8,0.561,0.559,0.9,1.0,0.907,0.6,1.9,2.5,1.2,0.6,0.1,1.3,1.4,8.9,
257.0,Trendon Watford,24.0,BRK,PF,19.0,0.0,17.3,3.2,6.8,0.473,0.6,1.9,0.324,2.6,4.8,0.533,0.519,1.9,2.3,0.837,0.4,2.5,2.9,1.5,0.6,0.3,1.2,2.3,8.9,
258.0,Nickeil Alexander-Walker,26.0,MIN,SG,56.0,8.0,24.5,3.2,7.2,0.439,1.7,4.4,0.391,1.4,2.8,0.516,0.56,0.8,1.0,0.754,0.6,2.5,3.1,2.5,0.6,0.3,1.3,1.8,8.8,
259.0,Wendell Carter Jr.,25.0,ORL,C,43.0,26.0,25.2,3.1,6.8,0.457,0.4,2.2,0.202,2.7,4.6,0.578,0.49,2.1,2.9,0.72,1.8,5.2,7.1,2.3,0.8,0.5,1.0,2.7,8.8,
260.0,Dorian Finney-Smith,31.0,2TM,PF,37.0,25.0,27.2,3.1,6.7,0.462,1.9,4.6,0.413,1.2,2.1,0.571,0.604,0.6,0.8,0.677,1.2,2.6,3.8,1.4,0.9,0.4,0.9,2.4,8.7,
261.0,Dorian Finney-Smith,31.0,BRK,PF,20.0,20.0,29.0,3.7,8.0,0.459,2.4,5.4,0.435,1.3,2.6,0.51,0.607,0.8,1.2,0.625,1.6,3.0,4.6,1.6,0.9,0.6,0.9,2.7,10.4,
262.0,Dorian Finney-Smith,31.0,LAL,PF,17.0,5.0,25.2,2.5,5.3,0.467,1.4,3.8,0.375,1.1,1.5,0.692,0.6,0.4,0.4,0.857,0.8,2.2,3.0,1.3,0.9,0.1,0.9,2.1,6.7,
263.0,Kentavious Caldwell-Pope,31.0,ORL,SG,53.0,53.0,30.2,3.0,7.4,0.41,1.4,4.6,0.309,1.6,2.8,0.578,0.506,1.2,1.3,0.886,0.4,1.7,2.1,1.8,1.5,0.5,0.8,1.9,8.7,
264.0,Marcus Smart,30.0,MEM,PG,19.0,6.0,21.1,2.8,7.8,0.358,1.5,4.7,0.322,1.3,3.1,0.414,0.456,1.6,1.9,0.833,0.7,1.5,2.3,3.7,1.2,0.3,1.8,1.6,8.7,
265.0,Max Strus,28.0,CLE,SF,25.0,12.0,24.9,3.1,7.3,0.423,2.2,5.8,0.379,0.9,1.5,0.595,0.574,0.4,0.4,0.818,0.8,3.6,4.4,3.1,0.6,0.4,1.0,2.0,8.7,
266.0,Jusuf Nurkić,30.0,2TM,C,26.0,24.0,23.4,3.0,6.5,0.458,0.7,2.3,0.317,2.2,4.2,0.537,0.515,2.0,2.8,0.699,1.8,7.3,9.1,1.8,0.9,0.7,2.2,3.0,8.6,
267.0,Jusuf Nurkić,30.0,PHO,C,25.0,23.0,23.7,3.0,6.5,0.454,0.8,2.4,0.322,2.2,4.2,0.529,0.512,1.9,2.8,0.696,1.8,7.3,9.2,1.9,0.9,0.6,2.3,3.1,8.6,
268.0,Jusuf Nurkić,30.0,CHO,C,1.0,1.0,16.0,3.0,5.0,0.6,0.0,1.0,0.0,3.0,4.0,0.75,0.6,3.0,4.0,0.75,1.0,7.0,8.0,1.0,1.0,1.0,1.0,1.0,9.0,
269.0,Goga Bitadze,25.0,ORL,C,45.0,41.0,23.6,3.6,5.9,0.614,0.0,0.4,0.1,3.6,5.5,0.656,0.618,1.3,2.0,0.633,2.7,5.3,8.0,2.2,0.8,1.7,1.3,2.2,8.6,
270.0,Jalen Smith,24.0,CHI,C,50.0,1.0,15.3,3.0,6.4,0.476,1.3,3.6,0.354,1.8,2.8,0.631,0.575,1.2,1.5,0.836,1.4,4.1,5.5,0.9,0.2,0.7,0.6,1.5,8.6,
271.0,Kel'el Ware,20.0,MIA,C,38.0,12.0,19.1,3.6,6.7,0.535,0.7,1.8,0.357,2.9,4.8,0.603,0.585,0.8,1.1,0.732,1.4,4.4,5.8,0.8,0.6,1.0,0.8,1.3,8.6,
272.0,Draymond Green,34.0,GSW,PF,41.0,39.0,28.5,3.0,7.0,0.427,1.2,3.5,0.343,1.8,3.5,0.51,0.512,1.3,2.1,0.632,1.0,4.8,5.8,5.6,1.3,1.1,2.5,3.1,8.5,
