Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
75.0,John Collins,27.0,UTA,PF,36.0,27.0,30.5,6.6,12.6,0.524,1.4,3.4,0.423,5.1,9.1,0.562,0.582,3.5,4.0,0.876,2.2,6.0,8.2,2.1,1.0,1.1,2.7,3.0,18.1,
76.0,Malik Monk,26.0,SAC,SG,47.0,34.0,32.6,6.6,15.1,0.439,2.3,6.9,0.325,4.4,8.1,0.537,0.514,2.6,2.9,0.877,0.4,3.4,3.8,5.9,1.0,0.6,2.3,2.7,18.1,
77.0,Tyrese Haliburton,24.0,IND,PG,52.0,52.0,34.0,6.2,13.8,0.449,2.9,7.8,0.369,3.3,6.0,0.555,0.554,2.5,3.0,0.846,0.6,3.0,3.6,8.5,1.3,0.7,1.8,1.3,17.8,
78.0,Mikal Bridges,28.0,NYK,SF,54.0,54.0,38.2,7.3,14.8,0.492,2.3,6.4,0.359,5.0,8.4,0.593,0.569,0.9,1.1,0.742,0.9,2.3,3.1,3.3,1.0,0.5,1.5,1.5,17.7,
79.0,Jimmy Butler,35.0,2TM,SF,29.0,29.0,30.9,5.8,11.0,0.524,0.5,1.5,0.326,5.3,9.5,0.554,0.545,5.6,6.9,0.811,2.5,3.0,5.5,4.9,1.1,0.4,1.2,1.1,17.6,
80.0,Jimmy Butler,35.0,MIA,PF,25.0,25.0,30.6,5.7,10.5,0.54,0.5,1.4,0.361,5.2,9.1,0.568,0.565,5.2,6.4,0.801,2.2,3.0,5.2,4.8,1.1,0.4,1.2,0.9,17.0,
81.0,Jimmy Butler,35.0,GSW,SF,4.0,4.0,32.5,6.3,14.0,0.446,0.3,1.8,0.143,6.0,12.3,0.49,0.455,8.5,10.0,0.85,4.3,2.8,7.0,5.3,1.3,0.5,1.3,2.0,21.3,
82.0,Jaden Ivey,22.0,DET,SG,30.0,30.0,29.9,6.3,13.8,0.46,2.1,5.1,0.409,4.2,8.6,0.49,0.536,2.8,3.9,0.733,1.3,2.8,4.1,4.0,0.9,0.4,3.0,2.2,17.6,
83.0,Dejounte Murray,28.0,NOP,PG,31.0,31.0,32.6,6.3,15.9,0.393,1.7,5.6,0.299,4.6,10.3,0.444,0.445,3.3,4.0,0.823,0.5,5.9,6.5,7.4,2.0,0.4,3.4,2.0,17.5,
84.0,Bradley Beal,31.0,PHO,SG,37.0,23.0,32.4,6.6,13.3,0.495,2.0,5.1,0.401,4.5,8.2,0.553,0.571,2.2,2.7,0.81,0.7,2.7,3.4,3.4,1.1,0.6,2.0,2.6,17.4,
85.0,Andrew Wiggins,29.0,2TM,SF,45.0,45.0,30.2,6.0,13.6,0.438,2.2,5.8,0.372,3.8,7.8,0.487,0.517,3.2,4.2,0.777,1.6,3.0,4.6,2.4,0.9,0.8,1.3,1.6,17.3,
86.0,Andrew Wiggins,29.0,GSW,SF,43.0,43.0,30.1,6.1,13.7,0.444,2.2,5.8,0.379,3.9,7.9,0.491,0.524,3.2,4.2,0.777,1.5,3.0,4.6,2.3,0.9,0.8,1.3,1.6,17.6,
87.0,Andrew Wiggins,29.0,MIA,SF,2.0,2.0,32.5,3.5,12.0,0.292,1.5,6.5,0.231,2.0,5.5,0.364,0.354,3.5,4.5,0.778,2.0,2.5,4.5,4.0,1.0,1.0,1.5,1.5,12.0,
88.0,Shaedon Sharpe,21.0,POR,SG,47.0,31.0,30.2,6.4,14.4,0.443,1.9,6.1,0.309,4.5,8.2,0.543,0.509,2.5,3.1,0.801,0.7,3.1,3.8,2.5,0.8,0.2,1.8,1.8,17.1,
89.0,Jordan Clarkson,32.0,UTA,SG,30.0,7.0,26.3,5.7,13.7,0.417,2.4,6.3,0.379,3.3,7.4,0.45,0.505,3.1,3.9,0.803,0.6,2.7,3.3,3.9,0.8,0.3,2.1,1.6,17.0,
90.0,Jonathan Kuminga,22.0,GSW,PF,32.0,10.0,26.0,6.1,13.2,0.459,1.3,3.6,0.345,4.8,9.6,0.502,0.506,3.4,5.3,0.639,1.4,3.6,5.0,2.2,0.9,0.6,1.6,1.9,16.8,
91.0,Bam Adebayo,27.0,MIA,C,51.0,51.0,34.0,6.5,13.7,0.471,0.8,2.6,0.299,5.7,11.1,0.512,0.5,3.0,4.1,0.733,2.6,7.5,10.1,4.5,1.2,0.8,2.2,2.2,16.7,
92.0,Bennedict Mathurin,22.0,IND,SF,51.0,44.0,31.5,5.8,12.3,0.475,1.5,4.2,0.355,4.4,8.1,0.536,0.535,3.4,4.2,0.818,1.3,4.4,5.7,1.9,0.6,0.4,1.9,2.4,16.6,
93.0,Malik Beasley,28.0,DET,SG,55.0,12.0,27.6,5.8,13.2,0.438,3.9,9.4,0.418,1.8,3.8,0.488,0.587,1.1,1.6,0.667,0.6,2.3,2.9,1.7,1.0,0.0,1.0,1.5,16.5,
